Input Tone (MHz),Channel 199 Power,Channel 200 Power,Channel 201 Power,Channel 199 avg,Channel 200 avg,Channel 201 avg,Channel 199 Mag,Channel 200 Mag,Channel 201 Mag,Channel 199 Mag (Normalized),Channel 200 Mag (Normalized),Channel 201 Mag (Normalized)
100.65,11561.29491,11696.7098,82874.78538,115.6129491,116.967098,828.7478538,20.6300648,20.68063715,29.18422417,-8.554159371,-8.503587017,0
100.7,11567.52343,11544.88506,82811.51986,115.6752343,115.4488506,828.1151986,20.63240388,20.62389613,29.18090755,-8.551820287,-8.560328033,-0.003316613
100.75,11554.08787,11556.69692,82847.82572,115.5408787,115.5669692,828.4782572,20.62735666,20.62833724,29.18281115,-8.556867508,-8.555886927,-0.001413015
100.8,11573.82744,11567.02603,82400.67062,115.7382744,115.6702603,824.0067062,20.63477003,20.63221713,29.15930746,-8.549454137,-8.552007036,-0.024916705
100.85,11547.08536,11562.06257,79320.27595,115.4708536,115.6206257,793.2027595,20.62472376,20.63035315,28.99384216,-8.559500404,-8.553871014,-0.190382003
100.9,11570.82092,11571.23359,71054.23773,115.7082092,115.7123359,710.5423773,20.63364172,20.63379661,28.51589985,-8.550582445,-8.55042756,-0.66832432
100.95,11602.78007,11573.89536,56647.5113,116.0278007,115.7389536,566.475113,20.6456206,20.63479551,27.53180835,-8.538603563,-8.549428653,-1.65241582
101,11574.93452,11591.45309,38547.64542,115.7493452,115.9145309,385.4764542,20.63518543,20.64137882,25.85997855,-8.549038739,-8.542845348,-3.324245613
,,,,,,,,,,,,
,,,,,,Maxima:,29.15011724,29.15890684,29.18422417,,,
,,,,,,Max of max: ,29.18422417,,,,,
Magnitude,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,29.18422417,,
